Altium Designer Pick and Place Locations
C:\Users\EL314\Desktop\_work\DMX512\DMX8x8A-v1\Project Outputs for DMX8x8A-v1\Pick Place\Pick Place for DMX8x8A-v1.csv

========================================================================================================================
File Design Information:

Date:       11/08/20
Time:       23:57
Revision:   3f021d9869d67fa48ac646c0abea894894396c62
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Pad-X(mm)","Pad-Y(mm)"
"C12",".designator","TopLayer","CHIP_C_0402_-_1206","67.4000","102.3000","360","Ceramic Chip Capacitor","66.4000","102.3000"
"D2",".designator","TopLayer","DO-214AC_(SMA)","132.0000","17.4000","0","Surface Mount Schottky Barrier Rectifier 1A","129.8000","17.4000"
"D1",".designator","TopLayer","DO-204AL_(DO-41)","132.0000","17.4000","0","Schottky Barrier Rectifier","124.5000","17.4000"
"R60:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","107.6000","64.3401","180","Chip Resistor","108.6000","64.3401"
"R60:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","77.6000","64.3401","180","Chip Resistor","78.6000","64.3401"
"R60:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","47.6000","64.3401","180","Chip Resistor","48.6000","64.3401"
"R60:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","17.6000","64.3401","180","Chip Resistor","18.6000","64.3401"
"R59:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","102.8000","64.3401","360","Chip Resistor","101.8000","64.3401"
"R59:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","72.8000","64.3401","360","Chip Resistor","71.8000","64.3401"
"R59:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","42.8000","64.3401","360","Chip Resistor","41.8000","64.3401"
"R59:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","12.8000","64.3401","0","Chip Resistor","11.8000","64.3401"
"D21:IO4",".designator","BottomLayer","PDS1040","114.1000","8.8000","90","10A SCHOTTKY BARRIER RECTIFIER","115.0398","6.8188"
"D21:IO3",".designator","BottomLayer","PDS1040","84.1000","8.8000","90","10A SCHOTTKY BARRIER RECTIFIER","85.0398","6.8188"
"D21:IO2",".designator","BottomLayer","PDS1040","54.1000","8.8000","90","10A SCHOTTKY BARRIER RECTIFIER","55.0398","6.8188"
"D21:IO1",".designator","BottomLayer","PDS1040","24.1000","8.8000","90","10A SCHOTTKY BARRIER RECTIFIER","23.1602","6.8188"
"D20:IO4",".designator","BottomLayer","PDS1040","96.3251","8.7000","90","10A SCHOTTKY BARRIER RECTIFIER","97.2649","6.7188"
"D20:IO3",".designator","BottomLayer","PDS1040","66.3251","8.7000","90","10A SCHOTTKY BARRIER RECTIFIER","67.2649","6.7188"
"D20:IO2",".designator","BottomLayer","PDS1040","36.3251","8.7000","90","10A SCHOTTKY BARRIER RECTIFIER","37.2649","6.7188"
"D20:IO1",".designator","BottomLayer","PDS1040","6.3251","8.7000","90","10A SCHOTTKY BARRIER RECTIFIER","5.3853","6.7188"
"S6",".designator","TopLayer","SD-2031","73.7400","135.1500","270","ROTARY CODED SWITCHES","76.2800","136.4200"
"S5",".designator","TopLayer","SD-2031","62.5400","135.1500","270","ROTARY CODED SWITCHES","65.0800","136.4200"
"S4",".designator","TopLayer","SD-2031","51.3600","135.1500","270","ROTARY CODED SWITCHES","53.9000","136.4200"
"X2",".designator","TopLayer","PLS-04","89.3000","125.8700","270","Pin header, Vertcial, Strips, Male, 2.54mm pitch","89.3000","129.6800"
"R58",".designator","TopLayer","Chip_R_0402_-_1206","112.2000","117.5400","360","Chip Resistor","111.2000","117.5400"
"R57",".designator","TopLayer","Chip_R_0402_-_1206","111.1000","114.5400","270","Chip Resistor","111.1000","115.5400"
"R56",".designator","TopLayer","Chip_R_0402_-_1206","113.2000","114.5400","270","Chip Resistor","113.2000","115.5400"
"R55",".designator","BottomLayer","Chip_R_0402_-_1206","71.4000","131.8000","180","Chip Resistor","72.4000","131.8000"
"R54",".designator","BottomLayer","Chip_R_0402_-_1206","71.4000","138.4000","180","Chip Resistor","72.4000","138.4000"
"R53",".designator","BottomLayer","Chip_R_0402_-_1206","76.0800","131.8000","360","Chip Resistor","75.0800","131.8000"
"R52",".designator","BottomLayer","Chip_R_0402_-_1206","76.0800","138.4000","360","Chip Resistor","75.0800","138.4000"
"R51",".designator","BottomLayer","Chip_R_0402_-_1206","60.2000","131.8000","180","Chip Resistor","61.2000","131.8000"
"R50",".designator","BottomLayer","Chip_R_0402_-_1206","60.2000","138.4000","180","Chip Resistor","61.2000","138.4000"
"R49",".designator","BottomLayer","Chip_R_0402_-_1206","64.9000","131.8000","360","Chip Resistor","63.9000","131.8000"
"R48",".designator","BottomLayer","Chip_R_0402_-_1206","64.9000","138.4000","360","Chip Resistor","63.9000","138.4000"
"R47",".designator","BottomLayer","Chip_R_0402_-_1206","49.0000","131.8000","180","Chip Resistor","50.0000","131.8000"
"R46",".designator","BottomLayer","Chip_R_0402_-_1206","49.0000","138.4000","180","Chip Resistor","50.0000","138.4000"
"R45",".designator","BottomLayer","Chip_R_0402_-_1206","53.7000","131.8000","360","Chip Resistor","52.7000","131.8000"
"R44",".designator","BottomLayer","Chip_R_0402_-_1206","53.7000","138.4000","360","Chip Resistor","52.7000","138.4000"
"HL16",".designator","TopLayer","LED_SMD_0805","110.7999","120.9401","90","LED 0805","110.7999","120.0651"
"HL15",".designator","TopLayer","LED-2pin_2.54mm","112.4000","120.9400","90","LED 3mm Red","112.4000","119.6700"
"X3",".designator","TopLayer","PLS-03","75.8344","113.4944","90","–‡Á˙ÂÏ Ì‡ ÔÎ‡ÚÛ, 2.54 ÏÏ ¯‡„","75.8344","110.9544"
"X1",".designator","TopLayer","DS1104-B60SRS","141.2000","130.0000","360","mini USB on PCB","138.1500","128.4000"
"R43:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","96.1000","58.7000","270","Chip Resistor","96.1000","59.7000"
"R43:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","66.1000","58.7000","270","Chip Resistor","66.1000","59.7000"
"R43:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","36.1000","58.7000","270","Chip Resistor","36.1000","59.7000"
"R43:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","6.1000","58.7000","270","Chip Resistor","6.1000","59.7000"
"R42:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","114.3000","58.7000","270","Chip Resistor","114.3000","59.7000"
"R42:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","84.3000","58.7000","270","Chip Resistor","84.3000","59.7000"
"R42:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","54.3000","58.7000","270","Chip Resistor","54.3000","59.7000"
"R42:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","24.3000","58.7000","270","Chip Resistor","24.3000","59.7000"
"R41:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","106.6000","61.3401","90","Chip Resistor","106.6000","60.3401"
"R41:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","76.6000","61.3401","90","Chip Resistor","76.6000","60.3401"
"R41:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","46.6000","61.3401","90","Chip Resistor","46.6000","60.3401"
"R41:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","16.6000","61.3401","90","Chip Resistor","16.6000","60.3401"
"R40:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","103.8000","61.3401","90","Chip Resistor","103.8000","60.3401"
"R40:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","73.8000","61.3401","90","Chip Resistor","73.8000","60.3401"
"R40:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","43.8000","61.3401","90","Chip Resistor","43.8000","60.3401"
"R40:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","13.8000","61.3401","90","Chip Resistor","13.8000","60.3401"
"R39:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","108.6501","61.3401","90","Chip Resistor","108.6501","60.3401"
"R39:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","78.6501","61.3401","90","Chip Resistor","78.6501","60.3401"
"R39:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","48.6501","61.3401","90","Chip Resistor","48.6501","60.3401"
"R39:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","18.6501","61.3401","90","Chip Resistor","18.6501","60.3401"
"R38:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","101.7501","61.3401","90","Chip Resistor","101.7501","60.3401"
"R38:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","71.7501","61.3401","90","Chip Resistor","71.7501","60.3401"
"R38:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","41.7501","61.3401","90","Chip Resistor","41.7501","60.3401"
"R38:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","11.7501","61.3401","90","Chip Resistor","11.7501","60.3401"
"R37:IO4",".designator","TopLayer","RES7W","97.2000","71.7000","270","Resistor 7W Axial","97.2000","88.2000"
"R37:IO3",".designator","TopLayer","RES7W","67.2000","71.7000","270","Resistor 7W Axial","67.2000","88.2000"
"R37:IO2",".designator","TopLayer","RES7W","37.2000","71.7000","270","Resistor 7W Axial","37.2000","88.2000"
"R37:IO1",".designator","TopLayer","RES7W","7.2000","71.7000","270","Resistor 7W Axial","7.2000","88.2000"
"R36:IO4",".designator","TopLayer","RES7W","113.2000","71.7000","270","Resistor 7W Axial","113.2000","88.2000"
"R36:IO3",".designator","TopLayer","RES7W","83.2000","71.7000","270","Resistor 7W Axial","83.2000","88.2000"
"R36:IO2",".designator","TopLayer","RES7W","53.2000","71.7000","270","Resistor 7W Axial","53.2000","88.2000"
"R36:IO1",".designator","TopLayer","RES7W","23.2000","71.7000","270","Resistor 7W Axial","23.2000","88.2000"
"R35:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","114.1000","7.9000","270","Chip Resistor","114.1000","8.9000"
"R35:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","84.1000","7.9000","270","Chip Resistor","84.1000","8.9000"
"R35:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","54.1000","7.9000","270","Chip Resistor","54.1000","8.9000"
"R35:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","24.1000","7.9000","270","Chip Resistor","24.1000","8.9000"
"R34:IO4",".designator","BottomLayer","Chip_R_0402_-_1206","96.3251","7.8000","270","Chip Resistor","96.3251","8.8000"
"R34:IO3",".designator","BottomLayer","Chip_R_0402_-_1206","66.3251","7.8000","270","Chip Resistor","66.3251","8.8000"
"R34:IO2",".designator","BottomLayer","Chip_R_0402_-_1206","36.3251","7.8000","270","Chip Resistor","36.3251","8.8000"
"R34:IO1",".designator","BottomLayer","Chip_R_0402_-_1206","6.3251","7.8000","270","Chip Resistor","6.3251","8.8000"
"R33",".designator","TopLayer","Chip_R_0402_-_1206","112.3080","95.4666","135","Chip Resistor","113.0151","94.7594"
"R32",".designator","TopLayer","Chip_R_0402_-_1206","108.7017","99.0728","135","Chip Resistor","109.4088","98.3657"
"R31",".designator","TopLayer","Chip_R_0402_-_1206","105.1662","102.6083","135","Chip Resistor","105.8733","101.9012"
"R30",".designator","TopLayer","Chip_R_0402_-_1206","101.3478","106.4267","135","Chip Resistor","102.0549","105.7196"
"R29",".designator","TopLayer","Chip_R_0402_-_1206","110.8230","92.7088","225","Chip Resistor","111.5302","93.4159"
"R28",".designator","TopLayer","Chip_R_0402_-_1206","107.2875","96.2444","225","Chip Resistor","107.9946","96.9515"
"R27",".designator","TopLayer","Chip_R_0402_-_1206","103.7520","99.7799","225","Chip Resistor","104.4591","100.4870"
"R26",".designator","TopLayer","Chip_R_0402_-_1206","100.0043","103.5276","225","Chip Resistor","100.7114","104.2347"
"R25",".designator","BottomLayer","Chip_R_0402_-_1206","104.7914","112.5400","90","Chip Resistor","104.7914","111.5400"
"R24",".designator","TopLayer","Chip_R_0402_-_1206","109.3381","94.1938","225","Chip Resistor","110.0452","94.9009"
